unique.ind,grid.id,detection,season,total.months,days.per.month,total.day.per.year,visit.reason,hunter (Yes/No),distance,signs,freq.sighting,year.obs,sighting.month,sighting.season,other.visit.grids,mean.elevation,median.elevation,village.number,river.length.sum,road.length.sum,slope.mean,presence.absence
15,1748,YES,3,2,20,40,rice,No,1640,nb,year,2023,NA,NA,1747,969,928,0,43166.06362,2889.612564,27.21311607,1
16,1748,YES,1,3,4,12,hunting,Yes,4520,ds,NA,2022,12,1,1747,969,928,0,43166.06362,2889.612564,27.21311607,1
17,1690,YES,1,3,8,24,hunting,Yes,4830,nb,week,2023,2,1,1747,498,1279,0,5588.803988,4911.730985,27.49457651,1
17,1747,YES,1,3,6,18,trapping,Yes,4190,ob,NA,2023,1,1,NA,932,926,2,5730.812768,14635.68465,26.89863184,1
18,1748,YES,1,3,8,24,trapping,Yes,2000,ds,month,2023,NA,NA,1747,969,928,0,43166.06362,2889.612564,27.21311607,1
19,1747,YES,1,1,2,2,mushroom_coll,No,1000,nb,NA,2022,11;12,1,NA,932,926,2,5730.812768,14635.68465,26.89863184,1
19,1748,YES,1,2,6,12,timber_coll,No,1770,nb,NA,2023,2,1,1747,969,928,0,43166.06362,2889.612564,27.21311607,1
20,1690,YES,1,1,3,3,mithun,No,5740,nb,NA,2022,9,1,1688;1689,498,1279,0,5588.803988,4911.730985,27.49457651,1
20,1631,NO,3,12,3,36,mithun,No,1280,Na,NA,NA,NA,NA,1688,735,780.5,0,11103.89508,1578.876333,31.31863131,0
20,1688,YES,3,12,3,36,mithun,No,1310,ob,year,2022,NA,NA,NA,975,935,1,26312.76741,5722.264119,25.60640241,1
21,1688,YES,1,2,6,12,hunting,Yes,870,ob,year,2023,NA,NA,NA,975,935,1,26312.76741,5722.264119,25.60640241,1
22,1746,NO,3,4,8,32,hunting,Yes,3890,nb,year,2015,NA,NA,1688;1689,1495,1550,0,0,0,30.59178014,0
22,1745,NO,3,4,8,32,hunting,Yes,4320,nb,year,2014,NA,NA,1688,1686,1696,0,1225.924431,0,30.22491008,0
23,1631,YES,3,4,8,32,hunting,Yes,3660,ob,NA,2022,NA,NA,1688,735,780.5,0,11103.89508,1578.876333,31.31863131,1
23,1689,NO,3,4,8,32,hunting,Yes,1840,NA,NA,NA,NA,NA,1688,1204,1227,0,7584.501433,5334.637834,25.91569701,0
24,1631,NO,1,2,30,60,cardamom,No,1830,NA,NA,NA,NA,NA,1688,735,780.5,0,11103.89508,1578.876333,31.31863131,0
24,1690,NO,1,1,6,6,hunting,Yes,4190,NA,NA,NA,NA,NA,1688;1689,498,1279,0,5588.803988,4911.730985,27.49457651,0
24,1689,YES,1,1,6,6,hunting,Yes,4890,fs,week,2023,2,1,1688,1204,1227,0,7584.501433,5334.637834,25.91569701,1
24,1745,NO,3,2,8,16,trapping,Yes,3970,NA,NA,NA,NA,NA,1688,1686,1696,0,1225.924431,0,30.22491008,0
25,1689,NO,3,2,8,16,trapping,Yes,1660,ob,year,2019,NA,NA,1688,1204,1227,0,7584.501433,5334.637834,25.91569701,0
26,1631,NO,2,2,6,12,hunting,Yes,1810,ob,year,2019,NA,NA,1688,735,780.5,0,11103.89508,1578.876333,31.31863131,0
27,1690,NO,1,2,6,12,trapping,Yes,2590,ob,year,2016,NA,NA,1688;1689,498,1279,0,5588.803988,4911.730985,27.49457651,0
28,1746,NO,2,2,8,16,hunting,Yes,2910,NA,NA,NA,NA,NA,1689;1688,1495,1550,0,0,0,30.59178014,0
28,1687,YES,2,1,20,20,rice,No,2440,nb,year,2022,7,2,1688,923,896,0,36162.85947,5855.514912,27.63150237,1
29,1751,NO,1,3,6,18,hunting,Yes,4980,NA,NA,NA,NA,NA,1866;1809;1808,1510,1556,0,8481.72968,0,35.36633686,0
29,1807,NO,1,3,6,18,hunting,Yes,6130,NA,NA,NA,NA,NA,1866;1865;1808,840,1061.5,0,8648.214755,0,33.5540231,0
30,1810,NO,1,1,2,2,mithun,No,2160,NA,NA,NA,NA,NA,1866;1809,421,372.5,0,21886.06647,12652.05998,28.63454481,0
31,1867,YES,2,1,1,1,electricity,No,2330,nb,NA,2020,NA,NA,1866,368,548,0,6375.905372,6768.505404,29.23444239,1
31,1809,NO,3,5,2,10,trapping,Yes,4830,NA,NA,NA,NA,NA,1866,830,814.5,0,4443.74147,39.76451681,35.23802379,0
31,1865,NO,3,5,2,10,trapping,Yes,4120,NA,NA,NA,NA,NA,1866,587,557,0,8539.322704,4575.225563,30.89039018,0
32,1751,NO,3,5,2,10,trapping,Yes,3720,NA,NA,NA,NA,NA,1866;1809;1808,1510,1556,0,8481.72968,0,35.36633686,0
32,1867,NO,1,1,1,1,hunting,Yes,1850,NA,NA,NA,NA,NA,1866,368,548,0,6375.905372,6768.505404,29.23444239,0
33,1865,NO,1,4,3,12,mithun,No,4560,NA,NA,NA,NA,NA,1866,587,557,0,8539.322704,4575.225563,30.89039018,0
33,1809,NO,3,5,3,15,mithun,No,3970,NA,NA,NA,NA,NA,1866,830,814.5,0,4443.74147,39.76451681,35.23802379,0
33,1866,NO,3,6,10,60,trapping,Yes,1720,NA,NA,NA,NA,NA,NA,395,406,1,11830.24701,12940.1259,27.37945895,0
34,1751,NO,3,5,5,25,hunting,Yes,6400,NA,NA,NA,NA,NA,1866;1809;1808,1510,1556,0,8481.72968,0,35.36633686,0
34,1809,NO,3,6,15,90,trapping,Yes,4310,NA,NA,NA,NA,NA,1866,830,814.5,0,4443.74147,39.76451681,35.23802379,0
35,1866,NO,3,5,7,35,mithun,No,1550,NA,NA,NA,NA,NA,NA,395,406,1,11830.24701,12940.1259,27.37945895,0
35,1808,NO,3,6,2,12,cane_coll,No,3180,NA,NA,NA,NA,NA,1809;1866,1345,1393,0,1162.521283,0,36.67205614,0
35,1810,NO,2,3,3,9,fishing,No,7200,NA,NA,NA,NA,NA,1867;1866,421,372.5,0,21886.06647,12652.05998,28.63454481,0
36,1806,YES,1,1,3,3,mithun,No,2170,nb,NA,2023,2,1,1863,836,880.5,0,7011.021885,1804.920014,28.80027118,1
36,1807,YES,1,1,6,6,hunting,Yes,2330,ds,NA,2023,2,1,1864;1863,840,1061.5,0,8648.214755,0,33.5540231,1
37,1865,NO,3,2,4,8,mithun,No,4910,NA,NA,NA,NA,NA,1864;1863,587,557,0,8539.322704,4575.225563,30.89039018,0
37,1807,YES,3,2,4,8,mithun,No,2620,ob,NA,2021,NA,NA,1864;1863,840,1061.5,0,8648.214755,0,33.5540231,1
38,1808,NO,1,2,6,12,hunting,Yes,5650,NA,NA,NA,NA,NA,1864;1807,1345,1393,0,1162.521283,0,36.67205614,0
38,1693,NO,1,2,6,12,hunting,Yes,1180,NA,NA,NA,NA,NA,1863;1806;1750;1749,1635,1727,0,1158.195411,0,33.29192717,0
38,1806,NO,3,2,4,8,mithun,No,2700,NA,NA,NA,NA,NA,1863,836,880.5,0,7011.021885,1804.920014,28.80027118,0
39,1863,YES,1,1,15,15,cardamom,No,490,fs,year,2022,9,1,NA,745,681,2,25179.56869,8323.380122,23.01709227,1
40,1392,YES,3,4,15,60,orange,No,2450,nb,year,2023,NA,NA,1449,415,424,0,33727.34317,7047.636871,20.55207152,1
40,1448,YES,2,1,4,4,mithun,No,1170,nb,year,2022,NA,NA,1449,729,766,0,12521.87899,4162.327575,31.65234436,1
40,1449,YES,1,2,10,20,trapping,Yes,2000,nb,year,2022,NA,NA,NA,417,415,2,70029.88195,11202.83892,19.47274827,1
41,1504,YES,1,4,5,20,hunting,Yes,3960,ob,NA,2021,NA,NA,1448;1506;1449,1889,1816.5,0,3470.786586,0,35.33546626,1
41,1449,NO,1,4,4,16,hunting,Yes,7340,NA,NA,NA,NA,NA,1448;1506;1449,417,415,2,70029.88195,11202.83892,19.47274827,0
42,1392,YES,1,1,4,4,hunting,Yes,1020,nb,NA,2023,3,2,1449,415,424,0,33727.34317,7047.636871,20.55207152,1
42,1449,YES,3,3,4,12,trapping,Yes,2100,nb,NA,2023,1,1,NA,417,415,2,70029.88195,11202.83892,19.47274827,1
42,1506,NO,1,1,3,3,mithun,No,3000,NA,NA,NA,NA,NA,1449,911,905,0,13619.65055,1643.251743,29.2366096,0
43,1448,NO,3,3,4,12,trapping,Yes,1500,NA,NA,NA,NA,NA,1449,729,766,0,12521.87899,4162.327575,31.65234436,0
43,1506,NO,3,3,4,12,trapping,Yes,2000,NA,NA,NA,NA,NA,1506,911,905,0,13619.65055,1643.251743,29.2366096,0
44,1448,NO,1,2,2,4,firewood_coll,No,1080,ob,NA,2013,NA,NA,1449,729,766,0,12521.87899,4162.327575,31.65234436,0
45,1449,YES,2,1,2,2,fodder_coll,No,340,nb,NA,2023,3,2,NA,417,415,2,70029.88195,11202.83892,19.47274827,1
45,1392,YES,1,2,6,12,orange,No,2780,ob,year,2021,NA,NA,1449,415,424,0,33727.34317,7047.636871,20.55207152,1
45,1506,YES,1,2,10,20,trapping,Yes,1320,nb,year,2023,1,1,1449,911,905,0,13619.65055,1643.251743,29.2366096,1
45,1504,NO,1,1,10,10,hunting,Yes,5680,NA,NA,NA,NA,NA,1448;1505;1449,1889,1816.5,0,3470.786586,0,35.33546626,0
46,1451,YES,1,2,10,20,mithun,No,3370,nb,NA,2023,1,1,1450,711,641,0,10907.59939,6764.495562,22.90888428,1
47,1449,YES,1,4,15,60,trapping,Yes,2430,nb,NA,2023,1,1,1450,417,415,2,70029.88195,11202.83892,19.47274827,1
48,1506,NO,3,2,5,10,mithun,No,3600,nb,year,2018,NA,NA,1450;1507,911,905,0,13619.65055,1643.251743,29.2366096,0
48,1509,YES,1,3,10,30,trapping,Yes,6800,nb,NA,2021,NA,NA,1450;1451;1508,656,629,0,46973.99411,6067.704558,22.17228716,1
48,1393,NO,1,3,10,30,trapping,Yes,2920,NA,NA,NA,NA,NA,1450,860,823,0,4186.029112,1598.900818,29.78863871,0
49,1393,YES,3,3,4,12,mithun,No,11700,nb,year,2023,NA,NA,1508;1451;1450,860,823,0,4186.029112,1598.900818,29.78863871,1
49,1450,YES,3,3,4,12,mithun,No,9620,nb,year,2023,NA,NA,1508;1451,454,377,1,43044.15216,16252.36566,17.39334597,1
49,1567,NO,3,3,2,6,mithun,No,1070,NA,NA,NA,NA,NA,1508;1509;1510,694,694,1,125578.1811,13064.71031,21.82316958,0
49,1452,YES,1,2,3,6,hunting,Yes,7560,nb,year,2023,NA,NA,1451;1508,1252,1367,0,30281.96753,63.4692942,31.59111202,1
50,1450,YES,3,3,5,15,mithun,No,680,ob,month,2023,3,2,NA,454,377,1,43044.15216,16252.36566,17.39334597,1
51,1449,YES,1,3,10,30,trapping,Yes,1280,ob,month,2022,12,1,1450,417,415,2,70029.88195,11202.83892,19.47274827,1
51,1450,YES,3,2,3,6,mithun,No,480,ob,NA,2023,2,1,NA,454,377,1,43044.15216,16252.36566,17.39334597,1
51,1508,YES,3,2,3,6,mithun,No,4980,nb,year,2023,3,2,1450;1451,472,434.5,1,12834.34511,19625.87878,16.17821336,1
52,1449,YES,2,1,2,2,mithun,No,2810,nb,year,2023,3,2,1450,417,415,2,70029.88195,11202.83892,19.47274827,1
52,1451,YES,1,1,2,2,hunting,Yes,2210,nb,year,2023,1,1,1450,711,641,0,10907.59939,6764.495562,22.90888428,1
52,1452,YES,1,1,3,3,hunting,Yes,7190,nb,year,2022,8,2,1450;1451,1252,1367,0,30281.96753,63.4692942,31.59111202,1
52,1393,NO,1,1,3,3,hunting,Yes,4300,NA,NA,NA,NA,NA,1450,860,823,0,4186.029112,1598.900818,29.78863871,0
53,1450,YES,2,1,1,1,mithun,No,1570,nb,NA,2023,3,2,NA,454,377,1,43044.15216,16252.36566,17.39334597,1
54,1452,YES,1,2,10,20,trapping,Yes,2000,nb,NA,2023,NA,NA,1508;1509,1252,1367,0,30281.96753,63.4692942,31.59111202,1
54,1509,YES,2,2,15,30,rice,No,1440,nb,NA,2023,3,2,1508,656,629,0,46973.99411,6067.704558,22.17228716,1
54,1450,YES,3,1,2,2,mithun,No,290,ds,NA,2020,3,2,1451;1508,454,377,1,43044.15216,16252.36566,17.39334597,1
55,1509,NO,1,2,2,4,mithun,No,1580,NA,NA,NA,NA,NA,1508,656,629,0,46973.99411,6067.704558,22.17228716,0
55,1451,YES,1,1,3,3,hunting,Yes,1910,ob,NA,2023,2,1,1508,711,641,0,10907.59939,6764.495562,22.90888428,1
56,1451,YES,2,1,6,6,mithun,No,1500,nb,week,2023,3,2,1508,711,641,0,10907.59939,6764.495562,22.90888428,1
56,1452,NO,1,5,6,30,trapping,Yes,1000,NA,NA,NA,NA,NA,1508;1509,1252,1367,0,30281.96753,63.4692942,31.59111202,0
57,1509,YES,2,1,8,8,firewood_coll,No,2000,ob,week,2023,NA,NA,1508,656,629,0,46973.99411,6067.704558,22.17228716,1
57,1451,YES,1,2,10,20,trapping,Yes,2500,nb,week,2023,1,1,1508,711,641,0,10907.59939,6764.495562,22.90888428,1
58,1452,NO,1,1,2,2,hunting,Yes,1840,NA,NA,NA,NA,NA,1508;1509,1252,1367,0,30281.96753,63.4692942,31.59111202,0
58,1451,YES,1,2,5,10,hunting,Yes,2330,nb,year,2023,1;2,1,1508,711,641,0,10907.59939,6764.495562,22.90888428,1
58,1509,YES,1,4,7,28,trapping,Yes,1390,nb,year,2023,3,2,1508,656,629,0,46973.99411,6067.704558,22.17228716,1
59,1451,YES,1,3,2,6,hunting,Yes,1260,ob,NA,2021,NA,NA,1508,711,641,0,10907.59939,6764.495562,22.90888428,1
59,1509,YES,2,2,2,4,ant_coll,No,830,ob,NA,2023,NA,NA,1508,656,629,0,46973.99411,6067.704558,22.17228716,1
60,1914,YES,3,4,10,40,mithun,No,4000,nb,year,2021,5,2,1913,747,743,1,39475.25727,16484.69832,20.82984565,1
61,1855,YES,3,6,14,84,trapping,Yes,4000,nb,NA,2020,11,1,1913;1912,971,1001,2,4537.420505,13724.99896,17.25584195,1
62,1970,YES,3,12,1,12,mithun,No,3000,nb,NA,2021,NA,NA,1913,1503,1543.5,0,2665.999977,0,23.22278464,1
62,1912,NO,3,3,10,30,jhum,No,7000,ds,NA,2018,5,2,1913,1165,1174,0,28259.39392,8333.217239,18.0226128,0
63,1972,NO,1,3,3,9,hunting,Yes,5000,ds,NA,2017,NA,NA,1913;1914;1971,1011,980.5,0,51333.10848,1543.361217,25.87413833,0
64,1857,YES,2,3,15,45,mithun,No,2000,nb,year,2022,5,2,1913;1856,1119,1123,0,33588.49032,0,22.95021428,1
64,1913,YES,2,3,15,45,mithun,No,1000,ob,year,2021,NA,NA,NA,1124,1144,9,15022.02464,12281.72946,17.76454036,1
65,1971,YES,1,1,10,10,hunting,Yes,4000,nb,year,2021,1,1,1913;1914,1117,1145.5,0,44208.97716,3835.232962,19.44406305,1
66,1972,NO,3,3,7,21,mithun,No,6000,nb,NA,2018,1;2,1,1913;1914;1971,1011,980.5,0,51333.10848,1543.361217,25.87413833,0
66,1971,NO,3,3,6,18,mithun,No,8000,nb,NA,2018,1;2,1,1913;1914,1117,1145.5,0,44208.97716,3835.232962,19.44406305,0
67,1857,YES,3,3,10,30,ginger,No,2000,ob,week,2020,NA,NA,1913;1856,1119,1123,0,33588.49032,0,22.95021428,1
68,1856,NO,3,4,9,36,mithun,No,2000,ds,NA,2018,NA,NA,1913,855,829,0,60714.14087,5806.410966,22.56668618,0
69,1856,YES,1,5,25,125,trapping,Yes,3000,nb,month,2021,12,1,1913,855,829,0,60714.14087,5806.410966,22.56668618,1
70,1913,YES,1,1,1,1,mithun,No,2000,nb,year,2020,NA,NA,NA,1124,1144,9,15022.02464,12281.72946,17.76454036,1
71,1857,YES,1,4,7,28,mithun,No,2000,nb,year,2021,10,1,1913;1914,1119,1123,0,33588.49032,0,22.95021428,1
72,1971,YES,1,4,5,20,cardamom,No,4000,nb,year,2022,1,1,1913;1914,1117,1145.5,0,44208.97716,3835.232962,19.44406305,1
73,1915,YES,3,9,10,90,mithun,No,4000,nb,year,2021,11;12,1,1913;1914,611,619,1,62967.49245,12920.99311,19.55408598,1
73,1972,YES,1,2,3,6,mithun,No,5000,nb,year,2021,2,1,1913;1914;1971,1011,980.5,0,51333.10848,1543.361217,25.87413833,1
74,1856,YES,2,3,8,24,trapping,Yes,5000,nb,year,2021,NA,NA,1913,855,829,0,60714.14087,5806.410966,22.56668618,1
74,1913,YES,1,2,8,16,trapping,Yes,200,ds,NA,2020,NA,NA,NA,1124,1144,9,15022.02464,12281.72946,17.76454036,1
74,1856,NO,2,3,12,36,trapping,Yes,2000,ds,NA,2017,NA,NA,1913,855,829,0,60714.14087,5806.410966,22.56668618,0
75,1971,YES,3,7,10,70,trapping,Yes,4000,nb,year,2021,9,1,1913;1914,1117,1145.5,0,44208.97716,3835.232962,19.44406305,1
75,1970,NO,2,2,4,8,jhum,No,2000,ds,NA,2013,12,1,1913,1503,1543.5,0,2665.999977,0,23.22278464,0
76,2210,YES,2,1,6,6,hunting,Yes,10000,nb,year,2022,3,2,1913,242,241,0,36262.51259,0,2.173042442,1
77,1971,YES,1,1,3,3,cardamom,No,5000,nb,year,2020,NA,NA,1913;1914,1117,1145.5,0,44208.97716,3835.232962,19.44406305,1
77,1914,YES,1,1,1,1,etkum_coll,No,3000,nb,year,2021,NA,NA,1913,747,743,1,39475.25727,16484.69832,20.82984565,1
78,1857,YES,2,2,7,14,rice,No,2000,nb,year,2022,1,1,1856;1913,1119,1123,0,33588.49032,0,22.95021428,1
78,1913,NO,3,4,4,16,trapping,Yes,3900,ds,NA,2013,2,1,NA,1124,1144,9,15022.02464,12281.72946,17.76454036,0
79,1913,YES,3,12,9,108,mithun,No,600,nb,year,2022,5,2,NA,1124,1144,9,15022.02464,12281.72946,17.76454036,1
80,1856,NO,2,2,10,20,cow_grz,No,2000,nb,NA,2019,NA,NA,1913,855,829,0,60714.14087,5806.410966,22.56668618,0
81,1857,YES,1,4,10,40,rice,No,4000,nb,NA,2021,1,1,1913;1914,1119,1123,0,33588.49032,0,22.95021428,1
81,1913,NO,1,2,15,30,rice,No,300,ds,NA,2013,11,1,NA,1124,1144,9,15022.02464,12281.72946,17.76454036,0
82,1971,YES,1,2,14,28,hunting,Yes,2000,nb,week,2021,2,1,1913;1914,1117,1145.5,0,44208.97716,3835.232962,19.44406305,1
83,1913,YES,1,1,1,1,firewood_coll,No,500,nb,year,2021,1,1,NA,1124,1144,9,15022.02464,12281.72946,17.76454036,1
83,1970,YES,2,2,5,10,hunting,Yes,2000,nb,year,2022,5,2,1913,1503,1543.5,0,2665.999977,0,23.22278464,1
84,1914,NO,1,4,7,28,trapping,Yes,1000,ds,NA,2013,1,1,1913,747,743,1,39475.25727,16484.69832,20.82984565,0
84,1915,NO,1,5,8,40,trapping,Yes,4430,nb,NA,2019,NA,NA,1913;1914,611,619,1,62967.49245,12920.99311,19.55408598,0
85,1915,YES,3,12,4,48,mithun,No,1470,nb,year,2021,7,2,1914,611,619,1,62967.49245,12920.99311,19.55408598,1
86,1912,YES,1,1,7,7,hunting,Yes,2000,ob,NA,2020,3,2,1855,1165,1174,0,28259.39392,8333.217239,18.0226128,1
87,1912,YES,1,3,3,9,firewood_coll,No,2000,ob,year,2022,NA,NA,1855,1165,1174,0,28259.39392,8333.217239,18.0226128,1
88,1856,YES,1,1,7,7,hunting,Yes,2850,nb,NA,2022,2,1,1855,855,829,0,60714.14087,5806.410966,22.56668618,1
88,1971,YES,1,2,8,16,hunting,Yes,9720,ds,NA,2021,11,1,1855;1912;1913;1914,1117,1145.5,0,44208.97716,3835.232962,19.44406305,1
89,1740,NO,1,1,7,7,hunting,Yes,5510,nb,year,2019,3,2,1855;1797;1854,1388,1398.5,0,28942.45028,7872.667763,25.37012448,0
90,1857,NO,1,1,7,7,hunting,Yes,7820,ds,year,2018,2,1,1855;1856,1119,1123,0,33588.49032,0,22.95021428,0
90,1797,YES,3,3,3,9,jhum,No,4960,nb,year,2021,10,1,1855;1854,926,863,0,25339.87159,7878.353545,18.90529005,1
91,1913,YES,1,1,7,7,hunting,Yes,4500,nb,year,2022,2,1,1855;1912;1913,1124,1144,9,15022.02464,12281.72946,17.76454036,1
91,1912,YES,1,1,7,7,hunting,Yes,5000,nb,year,2022,2,1,1855,1165,1174,0,28259.39392,8333.217239,18.0226128,1
92,1740,NO,1,3,7,21,hunting,Yes,4780,nb,NA,2019,NA,NA,1855;1854;1797,1388,1398.5,0,28942.45028,7872.667763,25.37012448,0
93,1740,YES,3,3,8,24,mithun,No,6000,ds,year,2021,5,2,1855;1854;1797,1388,1398.5,0,28942.45028,7872.667763,25.37012448,1
94,1912,NO,1,2,6,12,jhum,No,5000,ds,NA,2007,12,1,1855,1165,1174,0,28259.39392,8333.217239,18.0226128,0
95,1740,YES,2,1,4,4,jhum,No,5000,nb,year,2022,4,2,1855;1854;1797,1388,1398.5,0,28942.45028,7872.667763,25.37012448,1
96,1972,YES,1,1,6,6,hunting,Yes,10000,nb,NA,2022,2,1,1855;1856;1913;1914;1971,1011,980.5,0,51333.10848,1543.361217,25.87413833,1
97,2029,YES,1,2,5,10,mithun,No,7000,nb,year,2022,NA,NA,1914;1971;1972;2029,1492,1492.5,0,11937.3386,0,22.6063555,1
97,2028,YES,1,2,2,4,trapping,Yes,6000,nb,year,2021,NA,NA,1914;1971,1784,1723.5,0,1714.97096,0,26.12545138,1
98,1914,YES,1,1,6,6,firewood_coll,No,4000,nb,year,2020,NA,NA,NA,747,743,1,39475.25727,16484.69832,20.82984565,1
99,1567,YES,1,5,6,30,trapping,Yes,780,nb,month,2023,2,1,NA,694,694,1,125578.1811,13064.71031,21.82316958,1
99,1509,YES,1,5,6,30,trapping,Yes,3630,nb,month,2022,NA,NA,1510;1566;1567,656,629,0,46973.99411,6067.704558,22.17228716,1
99,1511,NO,1,5,6,30,hunting,Yes,3520,NA,NA,NA,NA,NA,1567;1568,1245,1336.5,0,69.73701,957.5645118,30.23097835,0
100,1567,YES,2,3,6,18,rice,No,620,nb,NA,2023,2,1,NA,694,694,1,125578.1811,13064.71031,21.82316958,1
100,1568,YES,3,3,3,9,mithun,No,4250,nb,NA,2023,1,1,1567,730,722.5,1,36892.07614,23807.03466,26.10018786,1
101,1567,NO,3,2,6,12,mithun,No,1080,NA,NA,NA,NA,NA,NA,694,694,1,125578.1811,13064.71031,21.82316958,0
102,1567,NO,3,2,10,20,mithun,No,910,NA,NA,NA,NA,NA,NA,694,694,1,125578.1811,13064.71031,21.82316958,0
103,1509,YES,2,2,2,4,mithun,No,2300,nb,year,2023,4,2,1510;1567,656,629,0,46973.99411,6067.704558,22.17228716,1
103,1567,YES,3,6,3,18,mithun,No,710,nb,year,2022,2,1,NA,694,694,1,125578.1811,13064.71031,21.82316958,1
104,1266,YES,1,5,6,30,trapping,Yes,5270,nb,NA,2021,NA,NA,1267,991,1004.5,0,21995.55652,3763.840891,30.50135495,1
104,1267,NO,3,6,6,36,trapping,Yes,1110,ds,NA,2014,2,1,NA,630,591.5,1,86262.42692,5385.046537,20.47380299,0
104,1210,NO,1,5,4,20,trapping,Yes,4920,NA,NA,NA,NA,NA,1267,498,468,0,41920.81527,8895.294091,15.68039488,0
104,1323,YES,3,2,3,6,mithun,No,1340,nb,NA,2023,11,1,1266;1267,1607,1632.5,0,0,0,31.26351432,1
105,1266,YES,3,2,3,6,mithun,No,710,nb,year,2022,11,1,1267,991,1004.5,0,21995.55652,3763.840891,30.50135495,1
106,1323,NO,1,4,4,16,trapping,Yes,2940,NA,NA,NA,NA,NA,1266;1267,1607,1632.5,0,0,0,31.26351432,0
106,1266,YES,1,4,10,40,trapping,Yes,2800,nb,year,2022,11,1,1267,991,1004.5,0,21995.55652,3763.840891,30.50135495,1
106,1267,NO,1,4,10,40,trapping,Yes,1500,NA,NA,NA,NA,NA,1266;1267,630,591.5,1,86262.42692,5385.046537,20.47380299,0
107,1265,YES,1,2,2,4,mithun,No,3900,ob,year,2022,NA,NA,1266;1267,875,868.5,0,7914.911243,229.9989051,28.04844688,1
108,1267,YES,3,6,15,90,jhum,No,2630,nb,NA,2023,4,2,1209,630,591.5,1,86262.42692,5385.046537,20.47380299,1
109,1267,YES,3,5,3,15,hunting,Yes,6000,ds,year,2022,NA,NA,1209,630,591.5,1,86262.42692,5385.046537,20.47380299,1
110,1267,YES,1,4,3,12,hunting,Yes,3000,nb,year,2023,4,2,1209,630,591.5,1,86262.42692,5385.046537,20.47380299,1
111,1323,YES,1,1,4,4,hunting,Yes,4450,ds,NA,2022,12,1,1266;1267,1607,1632.5,0,0,0,31.26351432,1
112,1265,YES,3,6,5,30,trapping,Yes,5170,nb,NA,2021,NA,NA,1266;1267,875,868.5,0,7914.911243,229.9989051,28.04844688,1
112,1266,YES,2,1,12,12,hunting,Yes,3940,nb,year,2023,3,2,1267,991,1004.5,0,21995.55652,3763.840891,30.50135495,1
112,1211,YES,2,1,3,3,hunting,Yes,3560,nb,NA,2022,NA,NA,1267;1210,957,944,0,14855.38403,1294.186137,27.58811074,1
